Player Team (Bye),Position,Scoring,Original Position,Rank
Jared Wayne HOU (14),WR,ppr,WR,254
Elijah Cooks JAC (12),WR,ppr,WR,255
Isaiah Winstead,WR,ppr,WR,256
Tre'Shaun Harrison,WR,ppr,WR,257
Rakim Jarrett TB (11),WR,ppr,WR,258
Kazmeir Allen WAS (14),WR,ppr,WR,259
Casey Washington ATL (12),WR,ppr,WR,260
Devaughn Vele DEN (14),WR,ppr,WR,261
Dayton Wade BAL (14),WR,ppr,WR,262
Dee Williams NYG (11),WR,ppr,WR,263
Phillip Brooks,WR,ppr,WR,264
Isaiah Wooden,WR,ppr,WR,265
Ahmarean Brown,WR,ppr,WR,266
Terique Owens SF (9),WR,ppr,WR,267
Jordan Matthews CAR (11),WR,ppr,WR,268
Willie Snead IV,WR,ppr,WR,269
Damiere Byrd,WR,ppr,WR,270
DeAndre Carter CHI (7),WR,ppr,WR,271
Laquon Treadwell IND (14),WR,ppr,WR,272
Greg Ward,WR,ppr,WR,273
Anthony Miller BAL (14),WR,ppr,WR,274
Byron Pringle,WR,ppr,WR,275
Deontay Burnett,WR,ppr,WR,276
Deon Cain,WR,ppr,WR,277
Cam Sims,WR,ppr,WR,278
Keith Kirkwood BAL (14),WR,ppr,WR,279
Malik Turner,WR,ppr,WR,280
Keelan Doss,WR,ppr,WR,281
Hakeem Butler,WR,ppr,WR,282
Stanley Morgan Jr. TEN (5),WR,ppr,WR,283
Kelvin Harmon DAL (7),WR,ppr,WR,284
Miles Boykin SEA (10),WR,ppr,WR,285
Ashton Dulin IND (14),WR,ppr,WR,286
Lil'Jordan Humphrey DEN (14),WR,ppr,WR,287
Andy Isabella,WR,ppr,WR,288
David Sills V DEN (14),WR,ppr,WR,289
Cody Thompson TB (11),WR,ppr,WR,290
Jalen Guyton,WR,ppr,WR,291
Jeff Smith,WR,ppr,WR,292
Steven Sims Jr. HOU (14),WR,ppr,WR,293
Alex Bachman LV (10),WR,ppr,WR,294
Tom Kennedy DET (5),WR,ppr,WR,295
Marcus Simms,WR,ppr,WR,296
James Proche II CLE (10),WR,ppr,WR,297
Scotty Washington BAL (14),WR,ppr,WR,298
Andre Baccellia ARI (11),WR,ppr,WR,299
Cody White SEA (10),WR,ppr,WR,300
Dan Chisena CAR (11),WR,ppr,WR,301
Austin Mack,WR,ppr,WR,302
Jalen Reagor LAC (5),WR,ppr,WR,303
Mason Kinsey TEN (5),WR,ppr,WR,304
Chris Blair ATL (12),WR,ppr,WR,305
Tarik Black MIA (6),WR,ppr,WR,306
Michael Strachan WAS (14),WR,ppr,WR,307
Shi Smith,WR,ppr,WR,308
Seth Williams DAL (7),WR,ppr,WR,309
Racey McMath,WR,ppr,WR,310
Jalen Camp,WR,ppr,WR,311
Jaelon Darden SEA (10),WR,ppr,WR,312
Austin Trammell JAC (12),WR,ppr,WR,313
Brandon Smith NYJ (12),WR,ppr,WR,314
Kyle Philips PHI (5),WR,ppr,WR,315
Lance McCutcheon,WR,ppr,WR,316
Raleigh Webb,WR,ppr,WR,317
Kwamie Lassiter II,WR,ppr,WR,318
Kendric Pryor CIN (12),WR,ppr,WR,319
Mike Harley Jr.,WR,ppr,WR,320
Dennis Houston TB (11),WR,ppr,WR,321
Kaden Davis CLE (10),WR,ppr,WR,322
Kevin Austin Jr. NO (12),WR,ppr,WR,323
Justin Hall,WR,ppr,WR,324
Jontre Kirklin,WR,ppr,WR,325
Grant DuBose MIA (6),WR,ppr,WR,326
Colton Dowell TEN (5),WR,ppr,WR,327
Sean Ryan,WR,ppr,WR,328
Zavier Scott MIN (6),WR,ppr,WR,329
Bryce Ford-Wheaton NYG (11),WR,ppr,WR,330
T.J. Luther CAR (11),WR,ppr,WR,331
Joseph Ngata,WR,ppr,WR,332
Ty Scott,WR,ppr,WR,333
Jalen Wayne,WR,ppr,WR,334
Jalen Cropper DAL (7),WR,ppr,WR,335
David Durden,WR,ppr,WR,336
Jaray Jenkins,WR,ppr,WR,337
Daniel Arias,WR,ppr,WR,338
Daewood Davis,WR,ppr,WR,339
Thayer Thomas MIN (6),WR,ppr,WR,340
Malik Knowles,WR,ppr,WR,341
Cephus Johnson III,WR,ppr,WR,342
Shaquan Davis,WR,ppr,WR,343
Matt Landers,WR,ppr,WR,344
Griffin Hebert,WR,ppr,WR,345
Tyrell Shavers BUF (12),WR,ppr,WR,346
Bryan Thompson,WR,ppr,WR,347
Christian McCaffrey SF (9) O,RB,ppr,RB,1
Bijan Robinson ATL (12),RB,ppr,RB,2
Breece Hall NYJ (12),RB,ppr,RB,3
Saquon Barkley PHI (5),RB,ppr,RB,4
Jonathan Taylor IND (14),RB,ppr,RB,5
Jahmyr Gibbs DET (5),RB,ppr,RB,6
Kyren Williams LAR (6),RB,ppr,RB,7
Travis Etienne Jr. JAC (12),RB,ppr,RB,8
Derrick Henry BAL (14),RB,ppr,RB,9
Isiah Pacheco KC (6),RB,ppr,RB,10
De'Von Achane MIA (6),RB,ppr,RB,11
Josh Jacobs GB (10),RB,ppr,RB,12
James Cook BUF (12),RB,ppr,RB,13
Rachaad White TB (11),RB,ppr,RB,14
Alvin Kamara NO (12),RB,ppr,RB,15
Joe Mixon HOU (14),RB,ppr,RB,16
Kenneth Walker III SEA (10),RB,ppr,RB,17
James Conner ARI (11),RB,ppr,RB,18
Aaron Jones Sr. MIN (6),RB,ppr,RB,19
D'Andre Swift CHI (7),RB,ppr,RB,20
David Montgomery DET (5),RB,ppr,RB,21
Rhamondre Stevenson NE (14),RB,ppr,RB,22
Zamir White LV (10) O,RB,ppr,RB,23
Najee Harris PIT (9),RB,ppr,RB,24
Raheem Mostert MIA (6),RB,ppr,RB,25
Javonte Williams DEN (14),RB,ppr,RB,26
Tony Pollard TEN (5),RB,ppr,RB,27
Austin Ekeler WAS (14),RB,ppr,RB,28
Brian Robinson Jr. WAS (14),RB,ppr,RB,29
Devin Singletary NYG (11),RB,ppr,RB,30
Jaylen Warren PIT (9),RB,ppr,RB,31
Zack Moss CIN (12) O,RB,ppr,RB,32
Nick Chubb CLE (10),RB,ppr,RB,33
Tyjae Spears TEN (5),RB,ppr,RB,34
Jonathon Brooks CAR (11) O,RB,ppr,RB,35
Chase Brown CIN (12),RB,ppr,RB,36
Jerome Ford CLE (10),RB,ppr,RB,37
Ezekiel Elliott DAL (7),RB,ppr,RB,38
Gus Edwards LAC (5),RB,ppr,RB,39
Blake Corum LAR (6),RB,ppr,RB,40
J.K. Dobbins LAC (5),RB,ppr,RB,41
Chuba Hubbard CAR (11),RB,ppr,RB,42
Trey Benson ARI (11),RB,ppr,RB,43
Zach Charbonnet SEA (10),RB,ppr,RB,44
Rico Dowdle DAL (7),RB,ppr,RB,45
Tyler Allgeier ATL (12),RB,ppr,RB,46
Ty Chandler MIN (6),RB,ppr,RB,47
Jaleel McLaughlin DEN (14),RB,ppr,RB,48
Jaylen Wright MIA (6),RB,ppr,RB,49
Antonio Gibson NE (14),RB,ppr,RB,50
Khalil Herbert CIN (12),RB,ppr,RB,51
Bucky Irving TB (11),RB,ppr,RB,52
MarShawn Lloyd GB (10),RB,ppr,RB,53
Jordan Mason SF (9),RB,ppr,RB,54
Braelon Allen NYJ (12),RB,ppr,RB,55
Ray Davis BUF (12),RB,ppr,RB,56
Tyrone Tracy Jr. NYG (11),RB,ppr,RB,57
Kenneth Gainwell PHI (5),RB,ppr,RB,58
Clyde Edwards-Helaire KC (6),RB,ppr,RB,59
Dalvin Cook DAL (7),RB,ppr,RB,60
Kimani Vidal LAC (5),RB,ppr,RB,61
Dameon Pierce HOU (14),RB,ppr,RB,62
Carson Steele KC (6),RB,ppr,RB,63
Alexander Mattison LV (10),RB,ppr,RB,64
Tank Bigsby JAC (12),RB,ppr,RB,65
Justice Hill BAL (14),RB,ppr,RB,66
Roschon Johnson CHI (7),RB,ppr,RB,67
Jamaal Williams NO (12),RB,ppr,RB,68
Audric Estime DEN (14),RB,ppr,RB,69
Keaton Mitchell BAL (14),RB,ppr,RB,70
Kyle Juszczyk SF (9),RB,ppr,RB,71
Will Shipley PHI (5),RB,ppr,RB,72
Samaje Perine KC (6),RB,ppr,RB,73
Kendre Miller NO (12),RB,ppr,RB,74
Louis Rees-Zammit JAC (12),RB,ppr,RB,75
Jermar Jefferson DET (5),RB,ppr,RB,76
J.J. Taylor HOU (14),RB,ppr,RB,77
Dylan Laube LV (10),RB,ppr,RB,78
Cam Akers MIN (6),RB,ppr,RB,79
Trey Sermon IND (14),RB,ppr,RB,80
Eric Gray NYG (11),RB,ppr,RB,81
Miles Sanders CAR (11),RB,ppr,RB,82
Deuce Vaughn DAL (7),RB,ppr,RB,83
D'Onta Foreman CLE (10),RB,ppr,RB,84
Michael Wiley WAS (14),RB,ppr,RB,85
DeWayne McBride,RB,ppr,RB,86
Isaac Guerendo SF (9),RB,ppr,RB,87
Jacob Saylors,RB,ppr,RB,88
Dante Miller NYG (11),RB,ppr,RB,89
Raheem Blackshear CAR (11),RB,ppr,RB,90
Patrick Taylor Jr. SF (9),RB,ppr,RB,91
SaRodorick Thompson Jr.,RB,ppr,RB,92
Patrick Ricard BAL (14),RB,ppr,RB,93
Cordarrelle Patterson PIT (9),RB,ppr,RB,94
Jeff Wilson Jr. MIA (6),RB,ppr,RB,95
DeeJay Dallas ARI (11),RB,ppr,RB,96
Anthony McFarland Jr.,RB,ppr,RB,97
Derek Watt,RB,ppr,RB,98
C.J. Ham MIN (6),RB,ppr,RB,99
Sione Vaki DET (5),RB,ppr,RB,100
Leonard Fournette,RB,ppr,RB,101
Travis Homer CHI (7),RB,ppr,RB,102
Jakob Johnson,RB,ppr,RB,103
Ty'Son Williams,RB,ppr,RB,104
Alec Ingold MIA (6),RB,ppr,RB,105
Anthony Jones,RB,ppr,RB,106
Jake Funk,RB,ppr,RB,107
Dylan McDuffie,RB,ppr,RB,108
Khari Blasingame PHI (5),RB,ppr,RB,109
Justin Jackson,RB,ppr,RB,110
Jon Hilliman,RB,ppr,RB,111
Blake Watson DEN (14),RB,ppr,RB,112
Kareem Hunt KC (6),RB,ppr,RB,113
Rasheen Ali BAL (14),RB,ppr,RB,114
James White,RB,ppr,RB,115
British Brooks HOU (14),RB,ppr,RB,116
Keaontay Ingram KC (6),RB,ppr,RB,117
J.D. McKissic,RB,ppr,RB,118
Corey Clement,RB,ppr,RB,119
Ty Johnson BUF (12),RB,ppr,RB,120
James Robinson,RB,ppr,RB,121
Mark Ingram II,RB,ppr,RB,122
Craig Reynolds DET (5),RB,ppr,RB,123
Caleb Huntley,RB,ppr,RB,124
Hunter Luepke DAL (7),RB,ppr,RB,125
Cody Schrader LAR (6),RB,ppr,RB,126
Melvin Gordon III,RB,ppr,RB,127
Rex Burkhead,RB,ppr,RB,128
Malcolm Brown,RB,ppr,RB,129
Kenny McIntosh SEA (10),RB,ppr,RB,130
Emanuel Wilson GB (10),RB,ppr,RB,131
Ameer Abdullah LV (10),RB,ppr,RB,132
Kevin Harris NE (14),RB,ppr,RB,133
Ellis Merriweather GB (10),RB,ppr,RB,134
Jerick McKinnon,RB,ppr,RB,135
Israel Abanikanda SF (9),RB,ppr,RB,136
Xazavian Valladay NO (12),RB,ppr,RB,137
Damien Harris,RB,ppr,RB,138
Deneric Prince MIA (6),RB,ppr,RB,139
Reggie Gilliam BUF (12),RB,ppr,RB,140
Eno Benjamin,RB,ppr,RB,141
Frank Gore Jr. BUF (12),RB,ppr,RB,142
Dare Ogunbowale HOU (14),RB,ppr,RB,143
Joshua Kelley TEN (5),RB,ppr,RB,144
Emari Demercado ARI (11),RB,ppr,RB,145
Colson Yankoff WAS (14),RB,ppr,RB,146
Kene Nwangwu NYJ (12),RB,ppr,RB,147
Michael Carter ARI (11),RB,ppr,RB,148
Malik Davis DAL (7),RB,ppr,RB,149
Ronnie Rivers LAR (6),RB,ppr,RB,150
Zach Evans,RB,ppr,RB,151
Chris Rodriguez Jr. WAS (14),RB,ppr,RB,152
Chris Brooks GB (10),RB,ppr,RB,153
Sean Tucker TB (11),RB,ppr,RB,154
Jase McClellan ATL (12),RB,ppr,RB,155
Brandon Bolden,RB,ppr,RB,156
Matt Breida,RB,ppr,RB,157
Royce Freeman CHI (7),RB,ppr,RB,158
Boston Scott,RB,ppr,RB,159
Trayveon Williams CIN (12),RB,ppr,RB,160
Andrew Beck HOU (14),RB,ppr,RB,161
Salvon Ahmed IND (14),RB,ppr,RB,162
Tyler Goodson IND (14),RB,ppr,RB,163
Pierre Strong Jr. CLE (10),RB,ppr,RB,164
Tyreik McAllister LV (10),RB,ppr,RB,165
Hassan Hall,RB,ppr,RB,166
Jack Colletto,RB,ppr,RB,167
Michael Burton DEN (14),RB,ppr,RB,168
Tarik Cohen,RB,ppr,RB,169
Nyheim Hines CLE (10),RB,ppr,RB,170
Godwin Igwebuike,RB,ppr,RB,171
Mike Boone CAR (11),RB,ppr,RB,172
Myles Gaskin JAC (12),RB,ppr,RB,173
D'Ernest Johnson JAC (12),RB,ppr,RB,174
Derrick Gore,RB,ppr,RB,175
Jacques Patrick,RB,ppr,RB,176
Darrynton Evans CHI (7),RB,ppr,RB,177
La'Mical Perine,RB,ppr,RB,178
Jonathan Ward PIT (9),RB,ppr,RB,179
JaMycal Hasty NE (14),RB,ppr,RB,180
Ke'Shawn Vaughn SF (9),RB,ppr,RB,181
Spencer Brown,RB,ppr,RB,182
Deon Jackson,RB,ppr,RB,183
Avery Williams ATL (12),RB,ppr,RB,184
Adam Prentice NO (12),RB,ppr,RB,185
Jaret Patterson LAC (5),RB,ppr,RB,186
Tyler Badie DEN (14),RB,ppr,RB,187
Hassan Haskins LAC (5),RB,ppr,RB,188
Snoop Conner,RB,ppr,RB,189
Brittain Brown SEA (10),RB,ppr,RB,190
Isaiah Spiller,RB,ppr,RB,191
Tyrion Davis-Price PHI (5),RB,ppr,RB,192
Ricky Person Jr.,RB,ppr,RB,193
Aaron Shampklin PIT (9),RB,ppr,RB,194
Julius Chestnut TEN (5),RB,ppr,RB,195
Sincere McCormick LV (10),RB,ppr,RB,196
Jashaun Corbin,RB,ppr,RB,197
Lew Nichols III,RB,ppr,RB,198
Carlos Washington Jr. ATL (12),RB,ppr,RB,199
Jordan Mims NO (12),RB,ppr,RB,200
Elijah Dotson ATL (12),RB,ppr,RB,201
Jawhar Jordan HOU (14),RB,ppr,RB,202
Keilan Robinson JAC (12),RB,ppr,RB,203
Isaiah Davis NYJ (12),RB,ppr,RB,204
Chris Collier LV (10),RB,ppr,RB,205
Jarveon Howard,RB,ppr,RB,206
George Holani SEA (10),RB,ppr,RB,207
Kobe Lewis,RB,ppr,RB,208
TaMerik Williams,RB,ppr,RB,209
Emani Bailey CAR (11),RB,ppr,RB,210
Austin Jones,RB,ppr,RB,211
Nathaniel Peat,RB,ppr,RB,212
Elijah Collins,RB,ppr,RB,213
Dwayne Washington,RB,ppr,RB,214
Jeremy McNichols WAS (14),RB,ppr,RB,215
John Kelly Jr. LAC (5),RB,ppr,RB,216
Nick Bawden,RB,ppr,RB,217
Austin Walter,RB,ppr,RB,218
Patrick Laird,RB,ppr,RB,219
Tony Jones Jr.,RB,ppr,RB,220
Demetric Felton Jr.,RB,ppr,RB,221
Gerrid Doaks,RB,ppr,RB,222
Gary Brightwell CIN (12),RB,ppr,RB,223
Nate McCrary,RB,ppr,RB,224
Zonovan Knight NYJ (12),RB,ppr,RB,225
Zander Horvath,RB,ppr,RB,226
Troy Hairston II HOU (14),RB,ppr,RB,227
Evan Hull IND (14),RB,ppr,RB,228
Robert Burns ATL (12),RB,ppr,RB,229
Mohamed Ibrahim,RB,ppr,RB,230
Kendall Milton CIN (12),RB,ppr,RB,231
Jaden Shirden,RB,ppr,RB,232
Noah Cain,RB,ppr,RB,233
Aidan Robbins,RB,ppr,RB,234
Trent Pennix,RB,ppr,RB,235
Deshaun Fenwick,RB,ppr,RB,236
Jacob Kibodi,RB,ppr,RB,237
Dillon Johnson CAR (11),RB,ppr,RB,238
Sam Schnee,RB,ppr,RB,239
Jabari Small TEN (5),RB,ppr,RB,240
Daijun Edwards,RB,ppr,RB,241
D.J. Williams TB (11),RB,ppr,RB,242
Jalen Jackson,RB,ppr,RB,243
Terrell Jennings NE (14),RB,ppr,RB,244
Markese Stepp,RB,ppr,RB,245
Ramon Jefferson,RB,ppr,RB,246
Kairee Robinson,RB,ppr,RB,247
Travis Kelce KC (6),TE,ppr,TE,1
Sam LaPorta DET (5),TE,ppr,TE,2
Mark Andrews BAL (14),TE,ppr,TE,3
Trey McBride ARI (11),TE,ppr,TE,4
Dalton Kincaid BUF (12),TE,ppr,TE,5
George Kittle SF (9),TE,ppr,TE,6
Evan Engram JAC (12),TE,ppr,TE,7
Kyle Pitts ATL (12),TE,ppr,TE,8
Jake Ferguson DAL (7),TE,ppr,TE,9
David Njoku CLE (10),TE,ppr,TE,10
Brock Bowers LV (10),TE,ppr,TE,11
Dallas Goedert PHI (5),TE,ppr,TE,12
Dalton Schultz HOU (14),TE,ppr,TE,13
T.J. Hockenson MIN (6),TE,ppr,TE,14
Pat Freiermuth PIT (9),TE,ppr,TE,15
Cole Kmet CHI (7),TE,ppr,TE,16
Luke Musgrave GB (10),TE,ppr,TE,17
Isaiah Likely BAL (14),TE,ppr,TE,18
Tyler Conklin NYJ (12),TE,ppr,TE,19
Taysom Hill NO (12) O,TE,ppr,TE,20
Zach Ertz WAS (14),TE,ppr,TE,21
Hunter Henry NE (14),TE,ppr,TE,22
Chig Okonkwo TEN (5),TE,ppr,TE,23
Jonnu Smith MIA (6),TE,ppr,TE,24
Mike Gesicki CIN (12),TE,ppr,TE,25
Cade Otton TB (11),TE,ppr,TE,26
Dawson Knox BUF (12),TE,ppr,TE,27
Ben Sinnott WAS (14),TE,ppr,TE,28
Ja'Tavion Sanders CAR (11),TE,ppr,TE,29
Noah Fant SEA (10),TE,ppr,TE,30
Colby Parkinson LAR (6),TE,ppr,TE,31
Greg Dulcich NYG (11),TE,ppr,TE,32
Darren Waller,TE,ppr,TE,33
Juwan Johnson NO (12),TE,ppr,TE,34
Michael Mayer LV (10),TE,ppr,TE,35
Noah Gray KC (6),TE,ppr,TE,36
Tucker Kraft GB (10),TE,ppr,TE,37
Durham Smythe MIA (6),TE,ppr,TE,38
Darnell Washington PIT (9),TE,ppr,TE,39
Hayden Hurst LAC (5),TE,ppr,TE,40
Luke Schoonmaker DAL (7),TE,ppr,TE,41
Cade Stover HOU (14),TE,ppr,TE,42
Brock Wright DET (5),TE,ppr,TE,43
Connor Heyward PIT (9),TE,ppr,TE,44
Jared Wiley KC (6),TE,ppr,TE,45
Theo Johnson NYG (11) O,TE,ppr,TE,46
Brevin Jordan HOU (14) O,TE,ppr,TE,47
Daniel Bellinger NYG (11),TE,ppr,TE,48
Cole Fotheringham LV (10),TE,ppr,TE,49
Gerald Everett CHI (7),TE,ppr,TE,50
Tyler Higbee LAR (6),TE,ppr,TE,51
Grant Calcaterra PHI (5),TE,ppr,TE,52
Elijah Higgins ARI (11),TE,ppr,TE,53
Charlie Taumoepeau,TE,ppr,TE,54
Josh Oliver MIN (6),TE,ppr,TE,55
Adam Trautman DEN (14),TE,ppr,TE,56
MyCole Pruitt PIT (9),TE,ppr,TE,57
Armani Rogers ATL (12),TE,ppr,TE,58
Eric Tomlinson LAC (5),TE,ppr,TE,59
Julian Hill MIA (6),TE,ppr,TE,60
Davis Allen LAR (6),TE,ppr,TE,61
Austin Hooper NE (14),TE,ppr,TE,62
Tanner Hudson CIN (12),TE,ppr,TE,63
Mo Alie-Cox IND (14),TE,ppr,TE,64
Drew Ogletree IND (14),TE,ppr,TE,65
Shane Zylstra DET (5),TE,ppr,TE,66
Drew Sample CIN (12),TE,ppr,TE,67
Pharaoh Brown SEA (10),TE,ppr,TE,68
Will Mallory IND (14),TE,ppr,TE,69
AJ Barner SEA (10),TE,ppr,TE,70
Johnny Mundt MIN (6),TE,ppr,TE,71
Kylen Granson IND (14),TE,ppr,TE,72
Peyton Hendershot KC (6),TE,ppr,TE,73
Jordan Akins CLE (10),TE,ppr,TE,74
Donald Parham Jr. DEN (14),TE,ppr,TE,75
Jeremy Ruckert NYJ (12),TE,ppr,TE,76
E.J. Jenkins PHI (5),TE,ppr,TE,77
Jaheim Bell NE (14),TE,ppr,TE,78
Marcedes Lewis CHI (7),TE,ppr,TE,79
C.J. Uzomah PHI (5),TE,ppr,TE,80
Will Dissly LAC (5),TE,ppr,TE,81
Foster Moreau NO (12),TE,ppr,TE,82
Irv Smith Jr. HOU (14),TE,ppr,TE,83
Harrison Bryant LV (10),TE,ppr,TE,84
Kenny Yeboah NYJ (12),TE,ppr,TE,85
Tommy Tremble CAR (11),TE,ppr,TE,86
Tre' McKitty CLE (10),TE,ppr,TE,87
John Bates WAS (14),TE,ppr,TE,88
Jack Stoll MIA (6),TE,ppr,TE,89
John FitzPatrick GB (10),TE,ppr,TE,90
James Mitchell DET (5),TE,ppr,TE,91
Lucas Krull DEN (14),TE,ppr,TE,92
Josh Whyle TEN (5),TE,ppr,TE,93
Brenton Strange JAC (12),TE,ppr,TE,94
Cameron Latu CLE (10),TE,ppr,TE,95
Payne Durham TB (11),TE,ppr,TE,96
Princeton Fant DAL (7),TE,ppr,TE,97
Devin Culp TB (11),TE,ppr,TE,98
Logan Thomas,TE,ppr,TE,99
Chris Manhertz NYG (11),TE,ppr,TE,100
Eric Saubert SF (9),TE,ppr,TE,101
Anthony Firkser KC (6),TE,ppr,TE,102
Robert Tonyan,TE,ppr,TE,103
Ian Thomas CAR (11),TE,ppr,TE,104
David Wells,TE,ppr,TE,105
Tyree Jackson,TE,ppr,TE,106
Zach Gentry,TE,ppr,TE,107
Stephen Carlson CHI (7),TE,ppr,TE,108
Parker Hesse,TE,ppr,TE,109
Mitchell Wilcox NE (14),TE,ppr,TE,110
Sean McKeon IND (14),TE,ppr,TE,111
Albert Okwuegbunam Jr.,TE,ppr,TE,112
Josiah Deguara JAC (12),TE,ppr,TE,113
Charlie Woerner ATL (12),TE,ppr,TE,114
Tyler Mabry SEA (10),TE,ppr,TE,115
Lawrence Cager,TE,ppr,TE,116
Sammis Reyes MIN (6),TE,ppr,TE,117
Luke Farrell JAC (12),TE,ppr,TE,118
Jacob Harris,TE,ppr,TE,119
Hunter Long LAR (6),TE,ppr,TE,120
Zach Davidson BUF (12),TE,ppr,TE,121
Quintin Morris BUF (12),TE,ppr,TE,122
Charlie Kolar BAL (14),TE,ppr,TE,123
Jake Tonges SF (9),TE,ppr,TE,124
Thomas Odukoya TEN (5),TE,ppr,TE,125
Tanner Conner MIA (6),TE,ppr,TE,126
Chris Pierce Jr.,TE,ppr,TE,127
Tucker Fisk LAC (5),TE,ppr,TE,128
Rodney Williams,TE,ppr,TE,129
Zack Kuntz NYJ (12),TE,ppr,TE,130
Brayden Willis SF (9),TE,ppr,TE,131
Travis Vokolek ARI (11),TE,ppr,TE,132
Brady Russell SEA (10),TE,ppr,TE,133
John Stephens Jr. DAL (7) O,TE,ppr,TE,134
Nate Adkins DEN (14),TE,ppr,TE,135
Jordan Murray NYG (11),TE,ppr,TE,136
Joel Wilson CHI (7),TE,ppr,TE,137
Erick All Jr. CIN (12) O,TE,ppr,TE,138
Tanner McLachlan CIN (12),TE,ppr,TE,139
Tip Reiman ARI (11),TE,ppr,TE,140
Mike Rigerman,TE,ppr,TE,141
Riley Sharp,TE,ppr,TE,142
Baylor Cupp KC (6),TE,ppr,TE,143
Thomas Yassmin DEN (14),TE,ppr,TE,144
Trey Knox,TE,ppr,TE,145
Jacob Warren,TE,ppr,TE,146
David Martin-Robinson TEN (5),TE,ppr,TE,147
Nick Vannett TEN (5),TE,ppr,TE,148
Jacob Hollister,TE,ppr,TE,149
Jordan Thomas,TE,ppr,TE,150
Ross Dwelley ATL (12),TE,ppr,TE,151
Kevin Rader,TE,ppr,TE,152
Tommy Sweeney CHI (7),TE,ppr,TE,153
Matt Sokol PIT (9),TE,ppr,TE,154
Noah Togiai,TE,ppr,TE,155
Tommy Hudson,TE,ppr,TE,156
Ben Mason,TE,ppr,TE,157
Hunter Kampmoyer,TE,ppr,TE,158
Feleipe Franks CAR (11),TE,ppr,TE,159
Sage Surratt,TE,ppr,TE,160
Miller Forristall,TE,ppr,TE,161
Bernhard Seikovits ARI (11),TE,ppr,TE,162
Josh Pederson,TE,ppr,TE,163
Sal Cannella,TE,ppr,TE,164
Michael Jacobson NO (12),TE,ppr,TE,165
Teagan Quitoriano HOU (14),TE,ppr,TE,166
Nikola Kalinic LAR (6),TE,ppr,TE,167
Nick Muse MIN (6),TE,ppr,TE,168
Ko Kieft TB (11),TE,ppr,TE,169
Cole Turner WAS (14),TE,ppr,TE,170
Zaire Mitchell-Paden BAL (14),TE,ppr,TE,171
Gerrit Prince,TE,ppr,TE,172
Stone Smartt LAC (5),TE,ppr,TE,173
Henry Pearson,TE,ppr,TE,174
Blake Whiteheart CLE (10),TE,ppr,TE,175
Ben Sims GB (10),TE,ppr,TE,176
Tanner Taula TB (11),TE,ppr,TE,177
La'Michael Pettway,TE,ppr,TE,178
Patrick Murtagh,TE,ppr,TE,179
Messiah Swinson GB (10),TE,ppr,TE,180
Lincoln Sefcik,TE,ppr,TE,181
McCallan Castles LAC (5),TE,ppr,TE,182
Jack Westover NE (14),TE,ppr,TE,183
Austin Stogner,TE,ppr,TE,184
Brenden Bates NYJ (12),TE,ppr,TE,185
Cam Grandy CIN (12),TE,ppr,TE,186
Treyton Welch NO (12),TE,ppr,TE,187
Alec Holler,TE,ppr,TE,188
Brevyn Spann-Ford DAL (7),TE,ppr,TE,189
Dylan Leonard,TE,ppr,TE,190
Isaac Rex,TE,ppr,TE,191
Dallin Holker NO (12),TE,ppr,TE,192
Steven Stilianos,TE,ppr,TE,193
Mason Pline SF (9),TE,ppr,TE,194
Shawn Bowman JAC (12),TE,ppr,TE,195
Neal Johnson,TE,ppr,TE,196
Josh Allen BUF (12),QB,ppr,QB,1
Patrick Mahomes II KC (6),QB,ppr,QB,2
Jalen Hurts PHI (5),QB,ppr,QB,3
Lamar Jackson BAL (14),QB,ppr,QB,4
C.J. Stroud HOU (14),QB,ppr,QB,5
Anthony Richardson IND (14),QB,ppr,QB,6
Joe Burrow CIN (12),QB,ppr,QB,7
Kyler Murray ARI (11),QB,ppr,QB,8
Jordan Love GB (10),QB,ppr,QB,9
Dak Prescott DAL (7) O,QB,ppr,QB,10
Brock Purdy SF (9),QB,ppr,QB,11
Jayden Daniels WAS (14),QB,ppr,QB,12
Caleb Williams CHI (7),QB,ppr,QB,13
Tua Tagovailoa MIA (6),QB,ppr,QB,14
Jared Goff DET (5),QB,ppr,QB,15
Trevor Lawrence JAC (12) O,QB,ppr,QB,16
Justin Herbert LAC (5) Q,QB,ppr,QB,17
Aaron Rodgers NYJ (12),QB,ppr,QB,18
Kirk Cousins ATL (12),QB,ppr,QB,19
Matthew Stafford LAR (6),QB,ppr,QB,20
Baker Mayfield TB (11),QB,ppr,QB,21
Deshaun Watson CLE (10) O,QB,ppr,QB,22
Bo Nix DEN (14),QB,ppr,QB,23
Geno Smith SEA (10),QB,ppr,QB,24
Will Levis TEN (5),QB,ppr,QB,25
Russell Wilson PIT (9),QB,ppr,QB,26
Justin Fields PIT (9),QB,ppr,QB,27
Derek Carr NO (12),QB,ppr,QB,28
Bryce Young CAR (11),QB,ppr,QB,29
Drake Maye NE (14),QB,ppr,QB,30
Sam Darnold MIN (6),QB,ppr,QB,31
Daniel Jones MIN (6),QB,ppr,QB,32
Gardner Minshew II LV (10) O,QB,ppr,QB,33
Aidan O'Connell LV (10),QB,ppr,QB,34
Jacoby Brissett NE (14),QB,ppr,QB,35
Joe Flacco IND (14),QB,ppr,QB,36
Michael Penix Jr. ATL (12),QB,ppr,QB,37
