Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
91,Shane Zylstra (DET),1,1,22,22.0,22,1,0,0,0,0,0,8,2.2,0.3,0.0%,TE,standard
92,Luke Musgrave (GB),5,7,22,4.4,6,0,0,0,0,0,0,4,2.2,0.6,13.0%,TE,standard
93,Tanner Conner (MIA),3,4,16,5.3,11,0,0,0,0,0,0,7,1.6,0.2,0.0%,TE,standard
94,Tucker Fisk (LAC),4,5,14,3.5,7,0,0,0,0,0,0,5,1.4,0.3,0.1%,TE,standard
95,Jack Stoll (MIA),2,3,10,5.0,6,0,0,0,0,0,0,7,1.0,0.1,0.0%,TE,standard
96,Dallin Holker (NO),1,1,10,10.0,10,0,0,0,0,0,0,8,1.0,0.1,0.0%,TE,standard
97,Josiah Deguara (JAC),2,2,10,5.0,8,0,0,0,0,0,0,9,1.0,0.1,0.0%,TE,standard
98,Eric Tomlinson (LAC),2,4,9,4.5,7,0,0,0,0,0,0,8,0.9,0.1,0.0%,TE,standard
99,Brevin Jordan (HOU),2,3,7,3.5,4,0,0,0,0,0,0,2,0.7,0.4,0.1%,TE,standard
100,Jared Wiley (KC),1,1,7,7.0,7,0,0,0,0,0,0,7,0.7,0.1,0.1%,TE,standard
101,John Samuel Shenker (LV),1,1,7,7.0,7,0,0,0,0,0,0,5,0.7,0.1,0.0%,TE,standard
102,Geoff Swaim (CLE),1,1,7,7.0,7,0,0,0,0,0,0,8,0.7,0.1,0.0%,TE,standard
103,Ian Thomas (CAR),3,6,7,2.3,3,0,0,0,0,0,0,5,0.7,0.1,0.0%,TE,standard
104,Zach Davidson (BUF),1,2,5,5.0,5,0,0,0,0,0,0,3,0.5,0.2,0.0%,TE,standard
105,Ross Dwelley (ATL),1,1,5,5.0,5,0,0,0,0,0,0,11,0.5,0.0,0.0%,TE,standard
106,Jody Fortson Jr. (KC),1,3,5,5.0,5,0,0,0,0,0,0,3,0.5,0.2,0.0%,TE,standard
107,John FitzPatrick (GB),1,1,2,2.0,2,0,0,0,0,0,0,5,0.2,0.0,0.0%,TE,standard
108,Marcedes Lewis (CHI),1,2,2,2.0,2,0,0,0,0,0,0,13,0.2,0.0,0.1%,TE,standard
109,Jaheim Bell (NE),1,2,1,1.0,1,0,0,0,0,0,0,9,0.1,0.0,0.0%,TE,standard
110,Colson Yankoff (WAS),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,standard
111,Treyton Welch (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
112,Hayden Rucci (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
113,Mitchell Fraboni (DEN),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,standard
114,David Martin-Robinson (TEN),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
115,Matt Sokol (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
116,Matt Orzech (GB),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
117,Donald Parham Jr. (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
118,Tommy Sweeney (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
119,Irv Smith Jr. (HOU),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
120,Andrew Beck (HOU),0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,standard
121,Stephen Carlson (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
122,Parker Hesse (FA),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,TE,standard
123,Mason Pline (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
124,Tyler Davis (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
125,Scotty Washington (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
126,Thomas Yassmin (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
127,Sean McKeon (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
