Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
51,Cade Stover (HOU),14,20,132,9.4,27,1,1,0,0,0,0,13,19.2,1.5,0.7%,TE,ppr
52,Mo Alie-Cox (IND),11,18,132,12.0,22,2,1,0,0,0,0,13,19.2,1.5,0.1%,TE,ppr
53,Josh Whyle (TEN),18,24,182,10.1,33,3,0,0,0,0,0,13,18.2,1.4,0.0%,TE,ppr
54,Tanner Hudson (CIN),17,21,134,7.9,19,0,1,1,1,0,1,9,17.5,1.9,0.9%,TE,ppr
55,Nate Adkins (DEN),7,8,50,7.1,16,0,2,0,0,0,0,13,17.0,1.3,0.0%,TE,ppr
56,Erick All Jr. (CIN),20,22,158,7.9,28,1,0,0,0,0,0,9,15.8,1.8,0.8%,TE,ppr
57,Drew Ogletree (IND),8,12,88,11.0,22,2,1,0,0,0,0,13,14.8,1.1,0.0%,TE,ppr
58,Drew Sample (CIN),13,15,72,5.5,12,0,1,1,-4,0,0,13,12.8,1.0,0.1%,TE,ppr
59,Lucas Krull (DEN),13,17,120,9.2,23,1,0,0,0,0,0,9,12.0,1.3,0.1%,TE,ppr
60,Michael Mayer (LV),15,23,110,7.3,29,1,0,0,0,0,0,7,11.0,1.6,2.3%,TE,ppr
61,Blake Whiteheart (CLE),4,6,42,10.5,29,1,1,0,0,0,0,7,10.2,1.5,0.0%,TE,ppr
62,Julian Hill (MIA),12,18,100,8.3,17,0,0,0,0,0,0,12,10.0,0.8,0.1%,TE,ppr
63,Stone Smartt (LAC),6,8,98,16.3,31,3,0,0,0,0,0,11,9.8,0.9,0.0%,TE,ppr
64,Kylen Granson (IND),7,19,94,13.4,40,2,0,0,0,0,0,13,9.4,0.7,0.2%,TE,ppr
65,Connor Heyward (PIT),4,6,29,7.3,16,0,1,0,0,0,0,13,8.9,0.7,0.1%,TE,ppr
66,Kenny Yeboah (NYJ),3,3,27,9.0,12,0,1,0,0,0,0,5,8.7,1.7,0.0%,TE,ppr
67,Brevyn Spann-Ford (DAL),8,13,86,10.8,18,0,0,0,0,0,0,13,8.6,0.7,0.1%,TE,ppr
68,Harrison Bryant (LV),9,12,86,9.6,18,0,0,0,0,0,0,9,8.6,1.0,0.0%,TE,ppr
69,Ben Sinnott (WAS),4,4,21,5.3,12,0,1,0,0,0,0,13,8.1,0.6,3.2%,TE,ppr
70,Eric Saubert (SF),6,8,78,13.0,17,0,0,0,0,0,0,13,7.8,0.6,0.1%,TE,ppr
71,Jeremy Ruckert (NYJ),14,21,76,5.4,12,0,0,0,0,0,0,13,7.6,0.6,0.1%,TE,ppr
72,Quintin Morris (BUF),2,3,16,8.0,14,0,1,0,0,0,0,12,7.6,0.6,0.0%,TE,ppr
73,Daniel Bellinger (NYG),8,10,76,9.5,17,0,0,0,0,0,0,13,7.6,0.6,1.2%,TE,ppr
74,Hayden Hurst (LAC),7,12,65,9.3,27,1,0,0,0,0,0,7,6.5,0.9,1.9%,TE,ppr
75,Chris Manhertz (NYG),1,2,2,2.0,2,0,1,0,0,0,0,13,6.2,0.5,0.0%,TE,ppr
76,Luke Farrell (JAC),9,13,55,6.1,11,0,0,0,0,0,0,13,5.5,0.4,0.0%,TE,ppr
77,John Bates (WAS),6,9,64,10.7,20,1,0,0,0,0,1,13,4.4,0.3,0.0%,TE,ppr
78,Pharaoh Brown (SEA),6,10,44,7.3,13,0,0,0,0,0,0,11,4.4,0.4,0.1%,TE,ppr
79,Hunter Long (LAR),5,7,43,8.6,18,0,0,0,0,0,0,13,4.3,0.3,0.0%,TE,ppr
80,Ben Sims (GB),4,5,42,10.5,28,1,0,0,0,0,0,13,4.2,0.3,0.1%,TE,ppr
81,Durham Smythe (MIA),7,13,40,5.7,8,0,0,0,0,0,0,13,4.0,0.3,0.1%,TE,ppr
82,Davis Allen (LAR),6,12,39,6.5,13,0,0,0,0,0,0,10,3.9,0.4,0.6%,TE,ppr
83,MyCole Pruitt (PIT),5,8,39,7.8,18,0,0,0,0,0,0,8,3.9,0.5,0.0%,TE,ppr
84,Payne Durham (TB),2,2,34,17.0,26,1,0,0,0,0,0,12,3.4,0.3,0.0%,TE,ppr
85,Charlie Woerner (ATL),4,6,33,8.3,13,0,0,0,0,0,0,12,3.3,0.3,0.0%,TE,ppr
86,Gerald Everett (CHI),7,11,30,4.3,17,0,0,0,0,0,0,13,3.0,0.2,1.0%,TE,ppr
87,Tip Reiman (ARI),4,4,29,7.3,14,0,0,0,0,0,0,13,2.9,0.2,0.0%,TE,ppr
88,Will Mallory (IND),4,7,29,7.3,10,0,0,0,0,0,0,8,2.9,0.4,0.0%,TE,ppr
89,Greg Dulcich (NYG),5,12,28,5.6,9,0,0,0,0,0,0,5,2.8,0.6,3.0%,TE,ppr
90,Peyton Hendershot (KC),3,3,26,8.7,11,0,0,0,0,0,0,5,2.6,0.5,0.0%,TE,ppr
91,Shane Zylstra (DET),1,1,22,22.0,22,1,0,0,0,0,0,8,2.2,0.3,0.0%,TE,ppr
92,Luke Musgrave (GB),5,7,22,4.4,6,0,0,0,0,0,0,4,2.2,0.6,13.0%,TE,ppr
93,Tanner Conner (MIA),3,4,16,5.3,11,0,0,0,0,0,0,7,1.6,0.2,0.0%,TE,ppr
94,Tucker Fisk (LAC),4,5,14,3.5,7,0,0,0,0,0,0,5,1.4,0.3,0.1%,TE,ppr
95,Jack Stoll (MIA),2,3,10,5.0,6,0,0,0,0,0,0,7,1.0,0.1,0.0%,TE,ppr
96,Dallin Holker (NO),1,1,10,10.0,10,0,0,0,0,0,0,8,1.0,0.1,0.0%,TE,ppr
97,Josiah Deguara (JAC),2,2,10,5.0,8,0,0,0,0,0,0,9,1.0,0.1,0.0%,TE,ppr
98,Eric Tomlinson (LAC),2,4,9,4.5,7,0,0,0,0,0,0,8,0.9,0.1,0.0%,TE,ppr
99,Brevin Jordan (HOU),2,3,7,3.5,4,0,0,0,0,0,0,2,0.7,0.4,0.1%,TE,ppr
100,Jared Wiley (KC),1,1,7,7.0,7,0,0,0,0,0,0,7,0.7,0.1,0.1%,TE,ppr
101,John Samuel Shenker (LV),1,1,7,7.0,7,0,0,0,0,0,0,5,0.7,0.1,0.0%,TE,ppr
102,Geoff Swaim (CLE),1,1,7,7.0,7,0,0,0,0,0,0,8,0.7,0.1,0.0%,TE,ppr
103,Ian Thomas (CAR),3,6,7,2.3,3,0,0,0,0,0,0,5,0.7,0.1,0.0%,TE,ppr
104,Zach Davidson (BUF),1,2,5,5.0,5,0,0,0,0,0,0,3,0.5,0.2,0.0%,TE,ppr
105,Ross Dwelley (ATL),1,1,5,5.0,5,0,0,0,0,0,0,11,0.5,0.0,0.0%,TE,ppr
106,Jody Fortson Jr. (KC),1,3,5,5.0,5,0,0,0,0,0,0,3,0.5,0.2,0.0%,TE,ppr
107,John FitzPatrick (GB),1,1,2,2.0,2,0,0,0,0,0,0,5,0.2,0.0,0.0%,TE,ppr
108,Marcedes Lewis (CHI),1,2,2,2.0,2,0,0,0,0,0,0,13,0.2,0.0,0.1%,TE,ppr
109,Jaheim Bell (NE),1,2,1,1.0,1,0,0,0,0,0,0,9,0.1,0.0,0.0%,TE,ppr
110,Colson Yankoff (WAS),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,ppr
111,Treyton Welch (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
112,Hayden Rucci (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
113,Mitchell Fraboni (DEN),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,ppr
114,David Martin-Robinson (TEN),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
115,Matt Sokol (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
116,Matt Orzech (GB),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
117,Donald Parham Jr. (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
118,Tommy Sweeney (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
119,Irv Smith Jr. (HOU),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
120,Andrew Beck (HOU),0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,ppr
121,Stephen Carlson (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
122,Parker Hesse (FA),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,TE,ppr
123,Mason Pline (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
124,Tyler Davis (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
125,Scotty Washington (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
126,Thomas Yassmin (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
127,Sean McKeon (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
128,Feleipe Franks (CAR),0,2,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,TE,ppr
129,Tyler Mabry (SEA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
130,Qadir Ismail (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
131,Mitchell Wilcox (NE),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
132,Shawn Bowman (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
133,Dalton Keene (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
134,Stephen Sullivan (CAR),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
135,Jake Tonges (SF),0,0,0,0.0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%,TE,ppr
136,Leroy Watson IV (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,ppr
137,Rodney Williams (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,ppr
138,Zaire Mitchell-Paden (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
139,Cole Fotheringham (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
140,Ko Kieft (TB),0,0,0,0.0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%,TE,ppr
141,Nick Muse (MIN),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,ppr
142,Justin Shorter (LV),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%,TE,ppr
143,Nikola Kalinic (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
144,McCallan Castles (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
145,Teagan Quitoriano (HOU),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,TE,ppr
146,Armani Rogers (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
147,Cameron Latu (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
148,Tanner McLachlan (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
149,Jelani Woods (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.1%,TE,ppr
150,E.J. Jenkins (PHI),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,ppr
151,Travis Vokolek (ARI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
152,Tanner Taula (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
153,Jordan Murray (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
154,Princeton Fant (DAL),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,ppr
155,John Stephens Jr. (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
156,Brady Russell (SEA),0,0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,TE,ppr
157,Thomas Odukoya (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
158,Zack Kuntz (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
159,Brayden Willis (SF),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,TE,ppr
160,Joel Wilson (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
161,Dominique Dafney (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
162,Devin Culp (TB),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,TE,ppr
163,Tre' McKitty (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
164,Messiah Swinson (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
165,Cam Grandy (CIN),1,1,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,ppr
166,Bernhard Seikovits (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
167,Michael Jacobson (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
168,Cole Turner (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
